Country,Year,Primary Enrollment,GDP per Capita
Brazil,1970,12812029.0,445.02378079118
Brazil,1971,13623388.0,501.316814178866
Brazil,1972,13676582.0,585.171404964645
Brazil,1973,13995216.0,817.452445155272
Brazil,1974,14009392.0,1048.59623468058
Brazil,1975,13924849.0,1205.07483377655
Brazil,1976,13524834.0,1395.09639887333
Brazil,1977,14163728.0,1568.54335363973
Brazil,1978,14814043.0,1739.72056573285
Brazil,1979,15719836.0,1877.68227213837
Brazil,1980,16089731.0,1966.90362644202
Brazil,1981,15984805.0,2088.0026865078
Brazil,1982,16694572.0,2144.80405335667
Brazil,1983,16378400.0,1465.10809173055
Brazil,1984,17488900.0,1422.68391394237
Brazil,1985,17331576.0,1301.97681197065
Brazil,1987,17568716.0,1685.82068989835
Brazil,1988,18822708.0,1801.99555501229
Brazil,1989,18409050.0,2371.57219575685
Brazil,1990,20312240.0,2622.26288057098
Brazil,1991,19002864.0,2259.23989366801
Brazil,1992,19231504.0,2127.50718981169
Brazil,1993,19410184.0,2348.09004733429
Brazil,1994,19930484.0,3295.24492362344
Brazil,1997,20568128.0,5282.04946994988
Brazil,1999,20939076.0,3479.84383285395
Brazil,2000,20211506.0,3749.91084752888
Brazil,2001,19727684.0,3160.24934491441
Brazil,2002,19380388.0,2839.49150108966
Brazil,2003,18919122.0,3070.43641941942
Brazil,2004,18979208.0,3637.3138901512
Brazil,2005,18661104.0,4790.45656586131
Brazil,2007,17996084.0,7348.18796290712
Brazil,2008,17812436.0,8831.18364277674
Brazil,2009,17451886.0,8597.79433526264
Brazil,2010,16893490.0,11286.071540212
Brazil,2011,16486880.0,13245.387369564
Brazil,2012,16134889.0,12370.2232548476
Brazil,2013,16760693.0,12300.3867121004
Brazil,2014,16630217.0,12112.8349554875
Brazil,2015,16299166.0,8813.98980647828
Brazil,2016,16118565.0,8710.06328995352
Brazil,2017,16106812.0,9928.67589653405
Brazil,2018,15951913.0,9151.38173161536
Brazil,2019,15690307.0,8876.05983587779
